"","longitude","latitude","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"background",-61.25,-27.0833333333333,21.287467956543,13.1933536529541,51.2931022644043,445.293273925781,33.9082489013672,8.1867504119873,25.7214984893799,25.8483333587646,15.8391666412354,26.6702919006348,15.8391666412354,882,140,14,62.3901863098145,376,52,347,52
"background",-103.083333333333,28.9166666666667,20.0558128356934,15.7992076873779,48.3477783203125,655.625671386719,35.4832496643066,2.8050000667572,32.6782493591309,27.4957084655762,13.2251253128052,27.4957084655762,11.4364585876465,268,43,6,60.1759948730469,121,24,121,29
"background",74.9166666666667,14.0833333333333,23.9214172363281,8.83920860290527,56.0055046081543,154.64421081543,32.2939987182617,16.5112495422363,15.7827491760254,22.9920825958252,23.9447078704834,26.3290004730225,22.806583404541,4589,1877,0,156.416870117188,3873,6,145,58
"background",26.5833333333333,40.9166666666667,13.9368753433228,8.12270832061768,30.9826011657715,684.592163085938,27.9987506866455,1.78174996376038,26.2170009613037,7.95283317565918,22.1149578094482,22.3315830230713,5.82529163360596,641,98,16,46.5918083190918,255,70,72,240
"background",6.75,50.4166666666667,7.9642186164856,7.53477096557617,32.2957954406738,596.243835449219,21.0575008392334,-2.27300000190735,23.3305015563965,1.92354166507721,10.6955413818359,15.4586668014526,0.860749959945679,922,93,62,11.3975992202759,265,208,218,253
"background",42.25,6.75,26.4314060211182,12.7366456985474,74.150505065918,87.8926620483398,34.8662490844727,17.6895008087158,17.1767482757568,27.1809577941895,25.9648742675781,27.4121246337891,25.464750289917,453,112,4,99.6879043579102,230,21,146,45
"background",60.9166666666667,26.75,21.6184158325195,12.535249710083,40.8191337585449,696.303405761719,36.3132514953613,5.60400009155273,30.7092514038086,13.9645414352417,21.9340839385986,29.687915802002,12.5829582214355,173,32,2,65.9443359375,82,9,48,76
"background",86.25,40.75,11.932728767395,16.0048332214355,31.6304168701172,1299.68823242188,35.6087493896484,-14.9907503128052,50.5994987487793,26.5709171295166,-0.909666836261749,26.5709171295166,-5.22958326339722,38,12,0,94.2569046020508,27,1,27,1
"background",20.25,-9.25,22.544958114624,14.2375001907349,72.5172882080078,82.3308410644531,31.7315006256104,12.0982503890991,19.6332511901855,22.5778331756592,21.5708751678467,23.2838325500488,21.4467086791992,1392,223,1,76.6523742675781,616,19,205,24
"background",14.25,-71.0833333333333,-16.1941986083984,6.23085403442383,25.3872413635254,658.446533203125,-3.1472499370575,-27.6905002593994,24.5432510375977,-23.046667098999,-7.80504179000854,-7.0817084312439,-23.046667098999,126,34,0,96.8661727905273,70,0,0,70
"background",86.0833333333333,21.5833333333333,25.3434906005859,10.3909797668457,43.4559898376465,399.341400146484,36.2545013427734,12.3430004119873,23.9115009307861,27.0450000762939,19.9294586181641,29.7524166107178,19.9109592437744,1580,370,4,101.625122070312,994,41,353,53
"background",131.416666666667,-79.5833333333333,-37.550968170166,7.08118724822998,21.6675968170166,994.902587890625,-17.099250793457,-49.7802505493164,32.6809997558594,-45.6028327941895,-37.6358757019043,-23.4456253051758,-45.9237899780273,26,18,0,162.050567626953,20,0,0,3
"background",16.0833333333333,61.4166666666667,3.8269374370575,9.4548749923706,29.3892059326172,828.012084960938,21.2422504425049,-10.9289999008179,32.1712493896484,14.3329172134399,-4.93195819854736,14.3329172134399,-6.24933338165283,574,79,24,35.229564666748,211,86,211,97
"background",39.4166666666667,5.58333333333334,20.2151355743408,12.58118724823,71.8370819091797,78.3473968505859,29.681999206543,12.1684999465942,17.513500213623,20.9374580383301,20.5070419311523,21.3028335571289,19.349250793457,808,191,14,86.6584396362305,400,61,285,80
"background",47.9166666666667,-19.75,18.3960094451904,10.219895362854,63.278148651123,263.510375976562,25.9747505187988,9.82400035858154,16.150749206543,21.1587905883789,16.3409996032715,21.1587905883789,14.9685831069946,1751,308,48,75.7011489868164,888,146,888,163
"background",50.9166666666667,54.0833333333333,4.23026037216187,10.048020362854,23.5238132476807,1269.25024414062,26.4357509613037,-16.2784996032715,42.7142486572266,19.0369167327881,-10.7254161834717,19.0369167327881,-11.2582082748413,537,74,23,32.3148651123047,186,84,186,95
"background",96.25,32.25,-1.15747916698456,13.1164999008179,39.3995361328125,737.078918457031,13.9002504348755,-19.3907508850098,33.2910003662109,7.5133752822876,-9.58029174804688,7.5133752822876,-10.4757919311523,591,134,3,99.009635925293,357,14,357,15
